2026-05-09T10:00|2026-05-12T18:00|Папа|Сходить в магазин|успешно выполнена
2026-05-09T10:00|2026-05-11T18:00|Мама|Помыть окно в комнате|провалена
2026-05-09T10:00|2026-05-13T18:00|Папа|Вынести мусор|получена
2026-05-09T10:00|2026-05-10T18:00|Сын|Сделать уроки|в процессе
2026-05-08T10:00|2026-05-14T18:00|Мама|Приготовить ужин|успешно выполнена
2026-05-08T10:00|2026-05-11T18:00|Сын|Вынести мусор|провалена
2026-05-08T10:00|2026-05-15T18:00|Папа|Починить кран|получена
2026-05-08T10:00|2026-05-12T18:00|Мама|Погладить бельё|в процессе
2026-05-07T10:00|2026-05-13T18:00|Дочь|Полить цветы|провалена
2026-05-07T10:00|2026-05-11T18:00|Папа|Пропылесосить|успешно выполнена
2026-05-07T10:00|2026-05-17T18:00|Сын|Погулять с собакой|получена
2026-05-07T10:00|2026-05-16T18:00|Мама|Купить подарок|в процессе
2026-05-06T10:00|2026-05-12T18:00|Дочь|Сходить в магазин|провалена
2026-05-06T10:00|2026-05-13T18:00|Папа|Заплатить за свет|получена
2026-05-06T10:00|2026-05-15T18:00|Сын|Помыть посуду|получена
2026-05-05T10:00|2026-05-11T18:00|Мама|Постирать шторы|успешно выполнена
2026-05-05T10:00|2026-05-12T18:00|Папа|Сделать уроки|в процессе
2026-05-05T10:00|2026-05-14T18:00|Дочь|Приготовить ужин|провалена
2026-05-05T10:00|2026-05-13T18:00|Сын|Помыть окно|провалена
2026-05-04T10:00|2026-05-15T18:00|Мама|Заплатить за газ|получена
2026-05-04T10:00|2026-05-16T18:00|Папа|Отвезти в кружок|в процессе
2026-05-04T10:00|2026-05-11T18:00|Дочь|Вынести мусор|получена
2026-05-03T10:00|2026-05-12T18:00|Сын|Покормить кота|успешно выполнена
2026-05-03T10:00|2026-05-13T18:00|Мама|Сходить в аптеку|провалена
2026-05-03T10:00|2026-05-14T18:00|Папа|Помыть машину|в процессе
2026-05-02T10:00|2026-05-11T18:00|Дочь|Прочитать книгу|получена
2026-05-02T10:00|2026-05-15T18:00|Сын|Убрать игрушки|получена
2026-05-01T10:00|2026-05-12T18:00|Мама|Испечь пирог|успешно выполнена
2026-05-01T10:00|2026-05-13T18:00|Папа|Повесить полку|в процессе
2026-05-01T10:00|2026-05-14T18:00|Дочь|Сделать влажную уборку|провалена
